pattern,concurrency,expected,observed,lost_updates,lost_update_rate,retries,wall_seconds
mutable,1,50,50,0,0.0,0,0.029
mutable,2,100,50,50,0.5,0,0.028
mutable,4,200,50,150,0.75,0,0.03
mutable,8,400,50,350,0.875,0,0.033
mutable,16,800,50,750,0.9375,0,0.038
mutable,32,1600,50,1550,0.9688,0,0.049
locked,1,50,50,0,0.0,0,0.028
locked,2,100,100,0,0.0,0,0.062
locked,4,200,200,0,0.0,0,0.114
locked,8,400,400,0,0.0,0,0.233
locked,16,800,800,0,0.0,0,0.459
locked,32,1600,1600,0,0.0,0,0.91
cas,1,50,50,0,0.0,0,0.028
cas,2,100,100,0,0.0,85,0.056
cas,4,200,200,0,0.0,527,0.112
cas,8,400,400,0,0.0,2066,0.228
cas,16,800,800,0,0.0,9273,0.462
cas,32,1600,1600,0,0.0,32612,0.924
append,1,50,50,0,0.0,0,0.029
append,2,100,100,0,0.0,0,0.029
append,4,200,200,0,0.0,0,0.03
append,8,400,400,0,0.0,0,0.036
append,16,800,800,0,0.0,0,0.042
append,32,1600,1600,0,0.0,0,0.062
